id,created_at,user_id,username,first_name,last_name,chat_id,chat_type,comment_text,tag,confidence,reasoning,game_id
13203,2026-01-25 17:16:40.372432,751429973,,Андрей,Дворецкий,-1002434063014,supergroup,"1)#1CXGZNDGPVK
2)Sony Xperia 10 V (XQ-ES72) Android 14
3)Время от времени возникает одна реклама, которая не отображается (чёрный экран), если тапнуть в любой место экрана, то переходит по рекламной ссылке, но крестик не появляется сколько бы не ждал, приходится перезапускать игру. Из-за этого 11 селы с аф не удалось удвоить(","Общие вопросы, баги, UX, визуал",0.9,"Комментарий описывает проблему с рекламой, которая не отображается корректно (черный экран), что является техническим багом, влияющим на игровой процесс. Это соответствует категории 'Общие вопросы, баги'. Также упоминается отсутствие крестика для закрытия рекламы, что связано с элементами интерфейса и пользовательского опыта, относящимися к категории 'UX, визуал'. Эти два аспекта делают выбор двух категорий обоснованным.",97
13204,2026-01-26 05:35:06.085209,485940775,Dem0sfen,Сергей,,-1002434063014,supergroup,"Что ждет Командиров на этой неделе 26.01-01.02: 
 
🔻 понедельник, 26.01 - старт Элитного турнира. Новый розыгрыш; 
🔻 вторник, 27.01 - cтарт Кубка Арены на Vulture. Старт Рейдов (макс.класс - Крейсеры). Стрим-прохождение Рейдов на Дискорд-сервере. Все присутствующие получат чипы; 
🔻 среда, 28.01 - мемная Среда, рассылка наград за активность в группе. Старт Элитного турнира с наградой в виде контрактов на пилота Wildekardde. Старт события сообщества ""Испытания Лукаса"";
🔻 четверг, 29.01 - старт события сообщества ""Предскажите свое место в Аномалиях""; 
🔻 пятница, 30.01 - старт Аномалий.
 
#новости","Ивенты, режимы",0.95,"Комментарий описывает расписание различных игровых событий и турниров на неделю, включая Элитный турнир, Кубок Арены, Рейды и события сообщества. Это явно относится к категории 'Ивенты, режимы', так как речь идет о временных активностях и наградах за участие в них.",97
13205,2026-01-26 06:13:46.179142,1797320054,SUMKA550,KILL DROID,[Sumka550],-1002434063014,supergroup,"Если тебе нужны именно 2 щита, то я считаю что будет лучше построить что то типо этого (1-е фото)

Если же кол-во щитов не важно, то поставь один в центре, остальное пусти на оружие","Модули, вопросы, Корабли, вопросы",0.85,"Комментарий обсуждает стратегию размещения щитов и оружия на корабле, что связано с модулями и их использованием. Упоминание о количестве щитов и их размещении указывает на вопросы по модулям, а обсуждение общей стратегии защиты и атаки на корабле связано с вопросами о кораблях.",97
13206,2026-01-26 06:14:35.984436,7794113124,MARKKVASS,КВАС по имени МАРК,,-1002434063014,supergroup,Лазеры плохо сочетаются с ракетницами,"Модули, вопросы, Корабли, вопросы",0.85,"Комментарий 'Лазеры плохо сочетаются с ракетницами' касается взаимодействия между двумя типами вооружения, что может быть связано с модулями и стратегиями использования кораблей. Лазеры и ракетницы могут быть частью модулей, устанавливаемых на корабли, и игрок обсуждает их совместимость, что указывает на вопросы о модулях и кораблях. Уверенность не максимальная, так как нет прямого упоминания о конкретных модулях или кораблях, но контекст подразумевает их обсуждение.",97
13207,2026-01-26 06:15:01.616787,1797320054,SUMKA550,KILL DROID,[Sumka550],-1002434063014,supergroup,"Поддержка у коробля дохнет очень быстро, потому советую поставить на них щиты, тогда корабль будет мало того, что живучее, так ещё и тебя от ракет защитит (контра: лазеры)","Корабли, вопросы, Модули, вопросы",0.9,"Комментарий содержит советы по улучшению характеристик корабля, что относится к категории 'Корабли, вопросы'. Упоминание о щитах как способе защиты и улучшения живучести корабля также связано с 'Модули, вопросы', так как щиты являются модулем, который можно установить на корабль. Ключевые слова: 'корабль', 'щиты', 'живучее', 'защитит'.",97
13208,2026-01-26 06:15:25.342074,1797320054,SUMKA550,KILL DROID,[Sumka550],-1002434063014,supergroup,"Хз, я не особо хороший строитель",Не определен,0.7,"Комментарий 'Хз, я не особо хороший строитель' не содержит конкретной информации, относящейся к одной из семи категорий. Он не упоминает ни офферы, ни UX, ни игровые режимы, ни пилотов, модули, корабли или общие вопросы и баги. Это скорее личное замечание игрока о своих навыках, без контекста, который позволил бы отнести его к какой-либо категории.",97
13209,2026-01-26 06:15:28.590215,1797320054,SUMKA550,KILL DROID,[Sumka550],-1002434063014,supergroup,Раньше когда то играл,Не определен,0.7,"Комментарий 'Раньше когда то играл' не содержит конкретной информации, относящейся к какой-либо из предложенных категорий. Он не упоминает ни офферы, ни UX, ни ивенты, ни другие аспекты игры. Это просто общее утверждение о прошлом опыте игры, без указания на конкретные элементы или проблемы. Поэтому он классифицируется как 'Не определен'.",97
13210,2026-01-26 06:15:33.614862,1797320054,SUMKA550,KILL DROID,[Sumka550],-1002434063014,supergroup,Решил вернуться,Не определен,0.7,"Комментарий 'Решил вернуться' не содержит конкретной информации, которая позволила бы отнести его к одной из семи категорий. Он не упоминает ни офферы, ни визуальные элементы, ни игровые режимы, ни другие аспекты игры. Это общее заявление о возвращении к игре, без указания причин или контекста, что делает его неясным для точной классификации.",97
13211,2026-01-26 06:15:46.045144,1797320054,SUMKA550,KILL DROID,[Sumka550],-1002434063014,supergroup,(там не выше того же рэйвен было),Не определен,0.3,"Комментарий '(там не выше того же рэйвен было)' не содержит достаточной информации для точной классификации. Он неясен и не указывает на конкретную категорию, такую как офферы, UX, ивенты, пилоты, модули, корабли или общие вопросы. Возможно, это отсылка к какому-то контексту, который не представлен в комментарии.",97
13212,2026-01-26 06:16:43.724684,7794113124,MARKKVASS,КВАС по имени МАРК,,-1002434063014,supergroup,Однако если поменять лазеры на пулеметы 1х1/1х2 то нормальная как будто получается сборка.,"Модули, вопросы, Корабли, вопросы",0.85,"Комментарий обсуждает изменение в сборке корабля, заменяя лазеры на пулеметы, что указывает на обсуждение модулей и их эффективности. Также упоминается 'сборка', что подразумевает стратегию использования корабля. Ключевые слова: 'поменять лазеры на пулеметы', 'сборка'.",97
13213,2026-01-26 06:17:28.144743,1797320054,SUMKA550,KILL DROID,[Sumka550],-1002434063014,supergroup,"Окей, попробую",Не определен,0.2,"Комментарий 'Окей, попробую' не содержит конкретной информации, которая позволила бы отнести его к одной из категорий. Нет упоминаний о магазинах, UX, ивентах, пилотах, модулях, кораблях или общих вопросах и багах. Это нейтральное выражение намерения, не связанное с конкретным аспектом игры.",97
13214,2026-01-26 06:19:39.696847,1797320054,SUMKA550,KILL DROID,[Sumka550],-1002434063014,supergroup,На поддержке тоже лучше менять на балистику?,"Модули, вопросы",0.85,"Комментарий 'На поддержке тоже лучше менять на балистику?' касается вопроса о выборе модулей для корабля поддержки. 'Балистика' вероятно относится к типу вооружения или модуля, что указывает на обсуждение стратегий использования модулей. Нет явных упоминаний о кораблях, поэтому второй тег 'Корабли, вопросы' не добавлен.",97
13215,2026-01-26 06:21:35.397505,1797320054,SUMKA550,KILL DROID,[Sumka550],-1002434063014,supergroup,"Я попробовал такую сборку, разницы не ощутил если честно, победил так же быстро, как и с предыдущей","Модули, вопросы",0.85,"Комментарий касается эффективности сборки, что подразумевает обсуждение модулей или их комбинаций. Упоминание 'сборки' указывает на использование определенных модулей или стратегий, связанных с ними. Однако, поскольку нет явного упоминания о кораблях, второй тег не добавлен.",97
13216,2026-01-26 06:22:01.72813,7794113124,MARKKVASS,КВАС по имени МАРК,,-1002434063014,supergroup,"Тут не знаю,но я бы баллистику поставил,и убрал несколько пулеметов с мейна заменив их на ракетницы.","Модули, вопросы, Корабли, вопросы",0.85,"Комментарий касается изменения вооружения на корабле, что включает в себя обсуждение модулей (баллистика, ракетницы) и кораблей (мейн). Игрок предлагает заменить пулеметы на ракетницы, что указывает на стратегию использования модулей и характеристик корабля. Ключевые слова: 'баллистику', 'пулеметы', 'ракетницы', 'мейн'.",97
13217,2026-01-26 06:22:14.129715,7794113124,MARKKVASS,КВАС по имени МАРК,,-1002434063014,supergroup,Сколько ты боев провел?,Не определен,0.7,"Комментарий 'Сколько ты боев провел?' не содержит конкретной информации, относящейся к какой-либо из категорий. Он не касается офферов, UX, ивентов, пилотов, модулей, кораблей или общих вопросов и багов. Это скорее общий вопрос, который может быть частью личного общения между игроками, но не предоставляет контекста для точной классификации.",97
13218,2026-01-26 06:22:25.684132,1797320054,SUMKA550,KILL DROID,[Sumka550],-1002434063014,supergroup,Эф,Не определен,0.1,"Комментарий 'Эф' не содержит достаточной информации для точной классификации. Это может быть сокращение или опечатка, но без контекста невозможно определить, к какой категории он относится. Уровень уверенности очень низкий из-за отсутствия контекста и ключевых слов.",97
13219,2026-01-26 06:22:27.799972,1797320054,SUMKA550,KILL DROID,[Sumka550],-1002434063014,supergroup,Секунду,Не определен,0.2,"Комментарий 'Секунду' слишком краток и не содержит информации, позволяющей отнести его к какой-либо из категорий. Отсутствуют ключевые слова или контекст, которые могли бы помочь в классификации.",97
13220,2026-01-26 06:22:55.130148,1797320054,SUMKA550,KILL DROID,[Sumka550],-1002434063014,supergroup,"60 победных
28 проигрышных",Не определен,0.6,"Комментарий '60 победных 28 проигрышных' не содержит явных указаний на какую-либо из категорий. Он представляет собой простое перечисление статистики побед и поражений, без контекста или дополнительных деталей, которые могли бы помочь в классификации. Нет упоминаний о проблемах, предложениях или элементах игры, которые бы соответствовали описанным категориям.",97
13221,2026-01-26 06:24:14.818738,1797320054,SUMKA550,KILL DROID,[Sumka550],-1002434063014,supergroup,"В основном проигрывал когда у меня были коробли ниже Рэйвена (я их не качал, Рэйвен мне безумно нравится, потому стремился скорее получить его (мне безумно нравится его внешка))","Корабли, вопросы",0.85,"Комментарий сосредоточен на опыте использования различных кораблей и предпочтении игрока к конкретному кораблю - Рэйвену. Упоминается, что игрок не прокачивал другие корабли, что привело к проигрышам, и выражается сильное предпочтение к Рэйвену из-за его внешнего вида. Это указывает на обсуждение характеристик и предпочтений по кораблям.",97
13222,2026-01-26 06:34:11.757173,1797320054,SUMKA550,KILL DROID,[Sumka550],-1002434063014,supergroup,Что на счёт этого?,Не определен,0.2,"Комментарий 'Что на счёт этого?' слишком общий и не содержит конкретной информации, которая позволила бы отнести его к одной из категорий. Нет упоминания о каких-либо аспектах игры, таких как офферы, UX, ивенты, пилоты, модули, корабли или общие вопросы и баги. Без дополнительного контекста невозможно точно определить категорию.",97
13223,2026-01-26 06:34:15.9337,1797320054,SUMKA550,KILL DROID,[Sumka550],-1002434063014,supergroup,И этого?,Не определен,0.2,"Комментарий 'И этого?' слишком краток и не содержит достаточной информации для уверенной классификации. Он не указывает на конкретную проблему или аспект игры, который можно было бы отнести к одной из категорий. Без дополнительного контекста невозможно определить, к чему именно относится этот комментарий.",97
